dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.459083,2.463554,2.097915,3.100367,1.402881,-3.896892,5.891207
0.020000,3.516545,2.439554,2.160187,3.126866,1.324943,-3.896892,5.884073
0.020000,3.574321,2.414975,2.222974,3.151806,1.247005,-3.896892,5.878030
0.020000,3.632404,2.389888,2.286244,3.175187,1.169068,-3.896892,5.873106
0.020000,3.690793,2.364367,2.349966,3.197010,1.091130,-3.896892,5.869329
0.020000,3.749484,2.338490,2.414109,3.217274,1.013192,-3.896892,5.866724
0.020000,3.808480,2.312337,2.478641,3.235979,0.935254,-3.896892,5.865314
0.020000,3.867782,2.285992,2.543532,3.253125,0.857316,-3.896892,5.865120
0.020000,3.927394,2.259538,2.608751,3.268713,0.779378,-3.896892,5.866162
0.020000,3.987322,2.233065,2.674265,3.282742,0.701441,-3.896892,5.868458
0.020000,4.047569,2.206661,2.740045,3.295212,0.623503,-3.896892,5.872022
0.020000,4.108142,2.180417,2.806058,3.306123,0.545565,-3.896892,5.876870
0.020000,4.169044,2.154427,2.872274,3.315475,0.467627,-3.896892,5.883013
0.020000,4.230279,2.128786,2.938662,3.323269,0.389689,-3.896892,5.890460
0.020000,4.291850,2.103588,3.005189,3.329504,0.311751,-3.896892,5.899217
0.020000,4.353757,2.078930,3.071826,3.334181,0.233814,-3.896892,5.909286
0.020000,4.415997,2.054910,3.138541,3.337298,0.155876,-3.896892,5.920663
0.020000,4.477787,2.030883,3.205301,3.338683,0.069253,-4.331130,5.885974
0.020000,4.538721,2.003629,3.272057,3.336951,-0.086623,-7.793783,5.844742
0.020000,4.598919,1.974892,3.338763,3.333659,-0.164560,-3.896892,5.836279
0.020000,4.659265,1.946659,3.405388,3.328809,-0.242498,-3.896892,5.860318
0.020000,4.720590,1.920931,3.471900,3.322401,-0.320436,-3.896892,5.917101
0.020000,4.783480,1.899798,3.538268,3.314433,-0.398374,-3.896892,6.006142
0.020000,4.848035,1.885333,3.604462,3.304907,-0.476312,-3.896892,6.123545
0.020000,4.912022,1.877114,3.670449,3.293822,-0.554250,-3.896892,6.155830
0.020000,4.977188,1.868371,3.736199,3.281178,-0.632187,-3.896892,6.144709
0.020000,5.042012,1.859116,3.801681,3.266976,-0.710125,-3.896892,6.138872
0.020000,5.106509,1.849692,3.866863,3.251215,-0.788063,-3.896892,6.138169
0.020000,5.170696,1.840433,3.931714,3.233895,-0.866001,-3.896892,6.142515
0.020000,5.234586,1.831663,3.996203,3.215016,-0.943939,-3.896892,6.151890
0.020000,5.298185,1.823703,4.060299,3.194578,-1.021877,-3.896892,6.166334
0.020000,5.361488,1.816872,4.123970,3.172582,-1.099814,-3.896892,6.185931
0.020000,5.424473,1.811488,4.187186,3.149027,-1.177752,-3.896892,6.210798
0.020000,5.487095,1.807868,4.249916,3.123913,-1.255690,-3.896892,6.241057
0.020000,5.549285,1.806329,4.312127,3.097241,-1.333628,-3.896892,6.276801
0.020000,5.610937,1.807177,4.373790,3.069009,-1.411566,-3.896892,0.034871
0.020000,5.671912,1.810701,4.434872,3.039219,-1.489504,-3.896892,0.081534
0.020000,5.732030,1.817157,4.495343,3.007870,-1.567441,-3.896892,0.133324
0.020000,5.791076,1.826753,4.555171,2.974963,-1.645379,-3.896892,0.189724
0.020000,5.848802,1.839632,4.614326,2.940496,-1.723317,-3.896892,0.249959
0.020000,5.904947,1.855851,4.672776,2.904471,-1.801255,-3.896892,0.312999
0.020000,5.959247,1.875375,4.730489,2.866887,-1.879193,-3.896892,0.377626
0.020000,6.011463,1.898072,4.787435,2.827745,-1.957131,-3.896892,0.442537
0.020000,6.061398,1.923724,4.843583,2.787043,-2.035068,-3.896892,0.506469
0.020000,6.108908,1.952044,4.898902,2.744783,-2.113006,-3.896892,0.568317
0.020000,6.153909,1.982696,4.953359,2.700964,-2.190944,-3.896892,0.627219
0.020000,6.196379,2.015328,5.006925,2.655587,-2.268882,-3.896892,0.682583
0.020000,6.236345,2.049582,5.059567,2.608650,-2.346820,-3.896892,0.734078
0.020000,6.273875,2.085116,5.111255,2.560155,-2.424758,-3.896892,0.781591
0.020000,6.308076,2.120579,5.161958,2.510101,-2.502695,-3.896892,0.825687
0.020000,6.340920,2.157855,5.211643,2.458489,-2.580633,-3.896892,0.871582
0.020000,6.371361,2.195786,5.260283,2.405491,-2.649886,-3.462653,0.917594
0.020000,6.399405,2.234217,5.307863,2.352493,-2.649886,-0.000000,0.963279
0.020000,6.425093,2.272997,5.354383,2.299495,-2.649886,0.000000,1.008210
0.020000,6.448490,2.311969,5.399843,2.246498,-2.649886,0.000000,1.051989
0.020000,6.469682,2.350982,5.444243,2.193500,-2.649886,0.000000,1.094259
0.020000,6.488775,2.389886,5.487583,2.140502,-2.649886,0.000000,1.134727
0.020000,6.505889,2.428545,5.529863,2.087505,-2.649886,0.000000,1.173163
0.020000,6.521154,2.466832,5.571083,2.034507,-2.649886,-0.000000,1.209407
0.020000,6.534709,2.504633,5.611243,1.981509,-2.649886,0.000000,1.243362
0.020000,6.546692,2.541850,5.650343,1.928511,-2.649886,-0.000000,1.274990
0.020000,6.557242,2.578397,5.688384,1.875514,-2.649886,0.000000,1.304300
0.020000,6.566493,2.614200,5.725364,1.822516,-2.649886,-0.000000,1.331338
0.020000,6.574574,2.649199,5.761284,1.769518,-2.649886,0.000000,1.356181
0.020000,6.581606,2.683342,5.796145,1.716520,-2.649886,-0.000000,1.378926
0.020000,6.587704,2.716587,5.829945,1.663523,-2.649886,0.000000,1.399683
0.020000,6.592970,2.748901,5.862686,1.610525,-2.649886,-0.000000,1.418570
0.020000,6.597503,2.780255,5.894366,1.557527,-2.649886,0.000000,1.435709
0.020000,6.601389,2.810628,5.924987,1.504530,-2.649886,0.000000,1.451221
0.020000,6.604707,2.840001,5.954547,1.451532,-2.649886,0.000000,1.465225
0.020000,6.607529,2.868361,5.983048,1.398534,-2.649886,-0.000000,1.477836
0.020000,6.609920,2.895698,6.010489,1.345536,-2.649886,0.000000,1.489164
0.020000,6.611936,2.922001,6.036869,1.292539,-2.649886,0.000000,1.499312
0.020000,6.613629,2.947265,6.062190,1.239541,-2.649886,-0.000000,1.508380
0.020000,6.615043,2.971485,6.086451,1.186543,-2.649886,0.000000,1.516459
0.020000,6.616219,2.994656,6.109652,1.133545,-2.649886,0.000000,1.523636
0.020000,6.617192,3.016775,6.131793,1.080548,-2.649886,0.000000,1.529991
0.020000,6.617992,3.037841,6.152874,1.027550,-2.649886,-0.000000,1.535600
0.020000,6.618646,3.057851,6.172895,0.974552,-2.649886,0.000000,1.540532
0.020000,6.619179,3.076805,6.191856,0.921555,-2.649886,0.000000,1.544852
0.020000,6.619609,3.094703,6.209759,0.868731,-2.641202,0.434238,1.548622
0.020000,6.619955,3.111561,6.226621,0.817465,-2.563264,3.896892,1.551900
0.020000,6.620231,3.127411,6.242473,0.767759,-2.485326,3.896892,1.554743
0.020000,6.620452,3.142283,6.257347,0.719611,-2.407388,3.896892,1.557201
0.020000,6.620626,3.156208,6.271273,0.673022,-2.329450,3.896892,1.559320
0.020000,6.620763,3.169218,6.284283,0.627992,-2.251512,3.896892,1.561141
0.020000,6.620871,3.181342,6.296408,0.584520,-2.173575,3.896892,1.562701
0.020000,6.620954,3.192613,6.307680,0.542608,-2.095637,3.896892,1.564033
0.020000,6.621019,3.203062,6.318128,0.502254,-2.017699,3.896892,1.565166
0.020000,6.621069,3.212719,6.327785,0.463458,-1.939761,3.896892,1.566127
0.020000,6.621107,3.221615,6.336682,0.426222,-1.861823,3.896892,1.566939
0.020000,6.621135,3.229783,6.344850,0.390544,-1.783885,3.896892,1.567623
0.020000,6.621157,3.237253,6.352320,0.356425,-1.705948,3.896892,1.568197
0.020000,6.621173,3.244055,6.359122,0.323865,-1.628010,3.896892,1.568676
0.020000,6.621185,3.250223,6.365290,0.292864,-1.550072,3.896892,1.569076
0.020000,6.621193,3.255786,6.370853,0.263421,-1.472134,3.896892,1.569408
0.020000,6.621199,3.260775,6.375842,0.235537,-1.394196,3.896892,1.569682
0.020000,6.621204,3.265223,6.380290,0.209212,-1.316258,3.896892,1.569908
0.020000,6.621207,3.269159,6.384226,0.184445,-1.238321,3.896892,1.570094
0.020000,6.621209,3.272616,6.387683,0.161238,-1.160383,3.896892,1.570245
0.020000,6.621211,3.275624,6.390691,0.139589,-1.082445,3.896892,1.570369
0.020000,6.621212,3.278215,6.393282,0.119499,-1.004507,3.896892,1.570469
0.020000,6.621212,3.280420,6.395487,0.100967,-0.926569,3.896892,1.570549
0.020000,6.621213,3.282269,6.397336,0.083995,-0.848631,3.896892,1.570614
0.020000,6.621213,3.283795,6.398862,0.068581,-0.770694,3.896892,1.570664
0.020000,6.621213,3.285028,6.400095,0.054726,-0.692756,3.896892,1.570704
0.020000,6.621213,3.286000,6.401067,0.042429,-0.614818,3.896892,1.570734
0.020000,6.621213,3.286741,6.401808,0.031692,-0.536880,3.896892,1.570756
0.020000,6.621213,3.287283,6.402350,0.022513,-0.458942,3.896892,1.570773
0.020000,6.621213,3.287657,6.402724,0.014893,-0.381004,3.896892,1.570784
0.020000,6.621213,3.287894,6.402961,0.008831,-0.303067,3.896892,1.570790
0.020000,6.621213,3.288026,6.403093,0.004329,-0.225129,3.896892,1.570794
0.020000,6.621213,3.288083,6.403150,0.001385,-0.147191,3.896892,1.570796
0.020000,6.621213,3.288097,6.403164,0.000000,-0.069253,3.896892,1.570796
0.020000,6.621213,3.288097,6.403164,0.000000,0.000000,3.462653,1.570796
