dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.554588,2.694593,2.192854,3.188722,0.803149,-5.114478,5.891207
0.020000,3.613695,2.669906,2.256910,3.202781,0.702984,-5.008242,5.884073
0.020000,3.672861,2.644735,2.321207,3.214876,0.604748,-4.911807,5.878030
0.020000,3.732075,2.619160,2.385708,3.225041,0.508250,-4.824875,5.873106
0.020000,3.791328,2.593261,2.450374,3.233307,0.413296,-4.747690,5.869329
0.020000,3.850616,2.567122,2.515168,3.239702,0.319727,-4.678477,5.866724
0.020000,3.909933,2.540826,2.580053,3.244250,0.227393,-4.616701,5.865314
0.020000,3.969280,2.514461,2.644993,3.246974,0.136194,-4.559929,5.865120
0.020000,4.028654,2.488113,2.709951,3.247895,0.046073,-4.506076,5.866162
0.020000,4.088057,2.461871,2.774892,3.247035,-0.042980,-4.452624,5.868458
0.020000,4.147488,2.435825,2.839780,3.244417,-0.130911,-4.396569,5.872022
0.020000,4.206949,2.410063,2.904581,3.240065,-0.217606,-4.334711,5.876870
0.020000,4.266438,2.384676,2.969261,3.234007,-0.302880,-4.263729,5.883013
0.020000,4.325956,2.359753,3.033787,3.226278,-0.386479,-4.179926,5.890460
0.020000,4.385501,2.335384,3.098125,3.216916,-0.468075,-4.079796,5.899217
0.020000,4.445069,2.311658,3.162245,3.205971,-0.547273,-3.959942,5.909286
0.020000,4.504655,2.288661,3.226115,3.193499,-0.623610,-3.816831,5.920663
0.020000,4.574499,2.261419,3.301083,3.748410,27.745588,1418.459902,5.885974
0.020000,4.644854,2.229982,3.378142,3.852947,5.226821,-1125.938348,5.844742
0.020000,4.706964,2.200339,3.446963,3.441083,-20.593202,-1291.001174,5.836279
0.020000,4.761859,2.174638,3.507577,3.030664,-20.520918,3.614226,5.860318
0.020000,4.810080,2.154365,3.559886,2.615474,-20.759511,-11.929664,5.917101
0.020000,4.851858,2.140265,3.603980,2.204668,-20.540306,10.960260,6.006142
0.020000,4.887776,2.132154,3.640801,1.841085,-18.179139,118.058358,6.123545
0.020000,4.943775,2.125089,3.697245,2.822176,49.054509,3361.682376,6.155830
0.020000,5.011697,2.115978,3.765775,3.426503,30.216366,-941.907146,6.144709
0.020000,5.077965,2.106517,3.832715,3.347027,-3.973801,-1709.508338,6.138872
0.020000,5.142636,2.097068,3.898073,3.267886,-3.957066,0.836736,6.138169
0.020000,5.205748,2.087963,3.961838,3.188231,-3.982711,-1.282229,6.142515
0.020000,5.267315,2.079511,4.023983,3.107254,-4.048878,-3.308347,6.151890
0.020000,5.327332,2.071999,4.084467,3.024226,-4.151377,-5.124961,6.166334
0.020000,5.385763,2.065691,4.143239,2.938567,-4.282964,-6.579361,6.185931
0.020000,5.442554,2.060833,4.200236,2.849893,-4.433692,-7.536403,6.210798
0.020000,5.497624,2.057646,4.255399,2.758132,-4.588068,-7.718812,6.241057
0.020000,5.550881,2.056324,4.308672,2.663626,-4.725307,-6.861939,6.276801
0.020000,5.602221,2.057025,4.360017,2.567261,-4.818247,-4.646986,0.034871
0.020000,5.651551,2.059870,4.409429,2.470595,-4.833269,-0.751091,0.081534
0.020000,5.698798,2.064938,4.456947,2.375906,-4.734471,4.939907,0.133324
0.020000,5.743929,2.072267,4.502669,2.286105,-4.490037,12.221670,0.189724
0.020000,5.786961,2.081862,4.546758,2.204467,-4.081924,20.405670,0.249959
0.020000,5.827968,2.093705,4.589441,2.134129,-3.516885,28.251928,0.312999
0.020000,5.867068,2.107761,4.630990,2.077471,-2.832902,34.199172,0.377626
0.020000,5.904405,2.123989,4.671702,2.035571,-2.095018,36.894206,0.442537
0.020000,5.940125,2.142340,4.711860,2.007910,-1.383007,35.600556,0.506469
0.020000,5.974354,2.162746,4.751710,1.992489,-0.771044,30.598109,0.568317
0.020000,6.007186,2.185112,4.791436,1.986310,-0.308964,23.104042,0.627219
0.020000,6.038680,2.209314,4.831155,1.985970,-0.016995,14.598434,0.682583
0.020000,6.068870,2.235194,4.870919,1.988205,0.111714,6.435443,0.734078
0.020000,6.097773,2.262564,4.910725,1.990298,0.104695,-0.350953,0.781591
0.020000,6.124322,2.290092,4.948970,1.912227,-3.903556,-200.412549,0.825687
0.020000,6.149583,2.318759,4.987179,1.910445,-0.089096,190.723020,0.871582
0.020000,6.172825,2.347719,5.024312,1.856676,-2.688455,-129.967958,0.917594
0.020000,6.194138,2.376925,5.060468,1.807769,-2.445344,12.155522,0.963279
0.020000,6.213624,2.406341,5.095752,1.764199,-2.178521,13.341183,1.008210
0.020000,6.231387,2.435931,5.130264,1.725630,-1.928468,12.502635,1.051989
0.020000,6.247535,2.465658,5.164094,1.691492,-1.706870,11.079893,1.094259
0.020000,6.262170,2.495481,5.197315,1.661042,-1.522516,9.217709,1.134727
0.020000,6.275394,2.525354,5.229984,1.633451,-1.379563,7.147675,1.173163
0.020000,6.287303,2.555225,5.262141,1.607867,-1.279169,5.019684,1.209407
0.020000,6.297991,2.585037,5.293811,1.583488,-1.218987,3.009107,1.243362
