dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.363579,2.232515,1.996847,2.983937,2.080770,-2.679808,5.891207
0.020000,3.419395,2.209203,2.057335,3.024438,2.025046,-2.786208,5.884073
0.020000,3.475780,2.185215,2.118611,3.063786,1.967383,-2.883118,5.878030
0.020000,3.532734,2.160616,2.180650,3.101946,1.907984,-2.969959,5.873106
0.020000,3.590257,2.135473,2.243428,3.138886,1.847029,-3.047763,5.869329
0.020000,3.648352,2.109858,2.306919,3.174580,1.784696,-3.116657,5.866724
0.020000,3.707026,2.083849,2.371099,3.209003,1.721118,-3.178901,5.865314
0.020000,3.766284,2.057523,2.435942,3.242131,1.656402,-3.235781,5.865120
0.020000,3.826134,2.030964,2.501421,3.273943,1.590608,-3.289695,5.866162
0.020000,3.886587,2.004258,2.567509,3.304418,1.523742,-3.343325,5.868458
0.020000,3.947650,1.977497,2.634180,3.333533,1.455751,-3.399503,5.872022
0.020000,4.009335,1.950771,2.701405,3.361263,1.386523,-3.461406,5.876870
0.020000,4.071650,1.924179,2.769157,3.387580,1.315873,-3.532529,5.883013
0.020000,4.134603,1.897818,2.837406,3.412451,1.243547,-3.616274,5.890460
0.020000,4.198200,1.871791,2.906123,3.435836,1.169220,-3.716345,5.899217
0.020000,4.262445,1.846203,2.975276,3.457686,1.092492,-3.836414,5.909286
0.020000,4.327339,1.821158,3.044835,3.477944,1.012902,-3.979502,5.920663
0.020000,4.381075,1.800347,3.102460,2.881265,-29.833959,-1542.343072,5.885974
0.020000,4.432588,1.777275,3.158905,2.822210,-2.952738,1344.061074,5.844742
0.020000,4.490875,1.749444,3.223495,3.229503,20.364643,1165.869056,5.836279
0.020000,4.556670,1.718680,3.296127,3.631640,20.106844,-12.889945,5.860318
0.020000,4.631099,1.687497,3.376824,4.034839,20.159950,2.655279,5.917101
0.020000,4.715102,1.659331,3.465424,4.429969,19.756506,-20.172212,6.006142
0.020000,4.808294,1.638512,3.560912,4.774443,17.223723,-126.639120,6.123545
0.020000,4.880270,1.629139,3.633496,3.629181,-57.263102,-3724.341267,6.155830
0.020000,4.942680,1.620765,3.696465,3.148465,-24.035816,1661.364299,6.144709
0.020000,5.006059,1.611714,3.760488,3.201119,2.632697,1333.425648,6.138872
0.020000,5.070382,1.602316,3.825494,3.250305,2.459324,-8.668625,6.138169
0.020000,5.135644,1.592902,3.891431,3.296873,2.328408,-6.545830,6.142515
0.020000,5.201856,1.583815,3.958264,3.341634,2.238043,-4.518263,6.151890
0.020000,5.269039,1.575408,4.025970,3.385311,2.183837,-2.710268,6.166334
0.020000,5.337213,1.568053,4.094540,3.428494,2.159137,-1.235014,6.185931
0.020000,5.406392,1.562142,4.163971,3.471553,2.152948,-0.309435,6.210798
0.020000,5.476566,1.558090,4.234263,3.514567,2.150727,-0.111069,6.241057
0.020000,5.547689,1.556334,4.305406,3.557198,2.131542,-0.959247,6.276801
0.020000,5.619653,1.557329,4.377378,3.598551,2.067669,-3.193631,0.034871
0.020000,5.692273,1.561531,4.450119,3.637077,1.926291,-7.068924,0.081534
0.020000,5.765263,1.569375,4.523529,3.670507,1.671479,-12.740604,0.133324
0.020000,5.838223,1.581239,4.597448,3.695933,1.271290,-20.009438,0.189724
0.020000,5.910643,1.597401,4.671650,3.710095,0.708144,-28.157289,0.249959
0.020000,5.981925,1.617997,4.745847,3.709871,-0.011219,-35.968133,0.312999
0.020000,6.051426,1.642989,4.819705,3.692877,-0.849713,-41.924745,0.377626
0.020000,6.118522,1.672155,4.892866,3.658055,-1.741113,-44.569972,0.442537
0.020000,6.182671,1.705109,4.964984,3.605923,-2.606573,-43.272995,0.506469
0.020000,6.243461,1.741341,5.035753,3.538450,-3.373632,-38.352980,0.568317
0.020000,6.300633,1.780281,5.104926,3.458643,-3.990379,-30.837334,0.627219
0.020000,6.354079,1.821341,5.172324,3.369898,-4.437244,-22.343240,0.682583
0.020000,6.403821,1.863969,5.237833,3.275437,-4.723052,-14.290393,0.734078
0.020000,6.449978,1.907667,5.301393,3.178026,-4.870557,-7.375248,0.781591
0.020000,6.491829,1.951066,5.361684,3.014531,-8.174730,-165.208671,0.825687
0.020000,6.532257,1.996951,5.422838,3.057709,2.158873,516.680158,0.871582
0.020000,6.569896,2.043853,5.482976,3.006873,-2.541760,-235.031631,0.917594
0.020000,6.604672,2.091510,5.541972,2.949798,-2.853763,-15.600180,0.963279
0.020000,6.636563,2.139653,5.599719,2.887395,-3.120175,-13.320569,1.008210
0.020000,6.665593,2.188008,5.656119,2.819997,-3.369870,-12.484760,1.051989
0.020000,6.691829,2.236305,5.711083,2.748177,-3.591039,-11.058485,1.094259
0.020000,6.715380,2.284291,5.764536,2.672663,-3.775692,-9.232645,1.134727
